audience,country,duration,original_language,orignal_title,plot,score,scrapy_creators,scrapy_genres,scrapy_stars,title,tvshow_rank,url,year_start,year_stop
"""tous publics""","""Japon""",25,"""Anglais""",NULL,"""Dans un monde où les extraterrestres ont envahi et pris le contrôle de Tokyo, un samouraï au chômage trouve du travail comme il le peut.""",8.7,NULL,"""Animation|Action|Comédie""","""Tomokazu Sugita|Daisuke Sakaguchi|Rie Kugimiya""","""Gintama""",247,"""https://www.imdb.com/title/tt0988818/?ref_=chttvtp_i_247""",2005,2021
"""NULL""","""Bulgarie""",0,"""Bulgare""",NULL,"""Trained young policeman goes undercover in the gang of the most dangerous mafia boss in Bulgaria.""",8.9,"""Teodora Markova|Georgi Ivanov""","""Action|Policier|Drame""","""Ivaylo Zahariev|Zachary Baharov|Vladimir Penev""","""Pod prikritie""",250,"""https://www.imdb.com/title/tt1909015/?ref_=chttvtp_i_250""",2011,2016
"""tv-14""","""Royaume-Uni""",90,"""Anglais""",NULL,"""Christopher Foyle enquête sur les crimes qui se produisent sur la côte sud de l'Angleterre.""",8.6,"""Anthony Horowitz""","""Policier|Drame|Mystère""","""Michael Kitchen|Honeysuckle Weeks|Anthony Howell""","""Foyle's War""",248,"""https://www.imdb.com/title/tt0310455/?ref_=chttvtp_i_248""",2002,2015
"""12""","""États-Unis""",23,"""Anglais""","""Rick and Morty""","""Une série animée suivant les exploits d'un super scientifique et de son petit-fils pas très futé.""",9.1,"""Dan Harmon|Justin Roiland""","""Animation|Aventure|Comédie""","""Chris Parnell|Spencer Grammer|Sarah Chalke""","""Rick et Morty""",16,"""https://www.imdb.com/title/tt2861424/?ref_=chttvtp_i_16""",2013,NULL
"""tous publics""","""Japon""",23,"""Japonais""","""Shigatsu wa kimi no uso""","""Un prodige du piano ayant perdu sa capacité de jouer après avoir subi un événement traumatisant pendant l'enfance est forcé à revenir sur le devant de la scène par une fille excentrique qui cache un secret.""",8.5,NULL,"""Animation|Comédie|Drame""","""Natsuki Hanae|Risa Taneda|Ayane Sakura""","""Your Lie in April""",246,"""https://www.imdb.com/title/tt3895150/?ref_=chttvtp_i_246""",2014,2018
"""13""","""Corée du Sud""",80,"""Coréen""","""Hwan Hon""","""Le destin de deux personnes devient tordu à cause du ''hwanhonsool'' (l'âme des morts qui revient aux vivants).""",8.8,NULL,"""Action|Drame|Fantastique""","""Lee Jae-wook|Hwang Min-hyun|Yoo Joon-sang""","""Alchemy of Souls""",244,"""https://www.imdb.com/title/tt20859920/?ref_=chttvtp_i_244""",2022,NULL
"""tous publics""","""États-Unis""",25,"""Anglais""","""Alfred Hitchcock Presents""","""Des histoires courtes sans rapport englobant du crime, de l'horreur, du drame, de la comédie sur des personnes issues de contextes variés et commettant des meurtres, des suicides, des vols et d'autres sortes de crimes pour divers motifs.""",8.5,NULL,"""Drame|Mystère""","""Alfred Hitchcock|Harry Tyler|John Williams""","""Alfred Hitchcock présente""",249,"""https://www.imdb.com/title/tt0047708/?ref_=chttvtp_i_249""",1955,1962
"""tous publics""","""États-Unis""",22,"""Anglais""",NULL,"""Un avocat suspendu est obligé de s'inscrire dans un centre universitaire communautaire avec son personnel et corps étudiant éclectiques.""",8.5,"""Dan Harmon""","""Comédie""","""Joel McHale|Danny Pudi|Donald Glover""","""Community""",242,"""https://www.imdb.com/title/tt1439629/?ref_=chttvtp_i_242""",2009,2015
"""tv-ma""","""États-Unis""",50,"""Anglais""",NULL,"""Découvrez les vies et les cuisines de six des chefs internationaux les plus renommés. Chaque épisode se concentre sur un chef et leur regard unique sur leur vie, leurs talents et leur passion depuis leur coin de paradis culinaire.""",8.5,NULL,"""Documentaire|Biographique""","""Massimo Bottura|Ruth Reichl|Francis Mallmann""","""Chef's Table""",245,"""https://www.imdb.com/title/tt4295140/?ref_=chttvtp_i_245""",2015,2019
"""13""","""Italie""",20,"""Italien""","""Strappare lungo i bordi""","""Un dessinateur de bandes dessinées à Rome, avec son tatou pour conscience, réfléchit à son chemin dans la vie et à un amour potentiel alors qu'il voyage avec ses amis en dehors de la ville.""",8.6,"""Zerocalcare""","""Animation|Comédie|Drame""","""Zerocalcare|Valerio Mastandrea|Wayne Forester""","""À découper suivant les pointillés""",243,"""https://www.imdb.com/title/tt15614372/?ref_=chttvtp_i_243""",2021,NULL
"""NULL""","""Turquie""",0,"""Turc""",NULL,"""The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.""",8.6,NULL,"""Comédie""","""Gülse Birsel|Levent Üzümcü|Senay Gürler""","""Avrupa Yakasi""",241,"""https://www.imdb.com/title/tt0421291/?ref_=chttvtp_i_241""",2004,2009
"""10""","""Italie""",0,"""Italien""","""L'amica geniale""","""Une femme raconte ses amitiés et ses conflits avec une fillette qu'elle a rencontrée à l'école primaire à Naples au début des années 50.""",8.6,"""Saverio Costanzo""","""Drame""","""Alba Rohrwacher|Margherita Mazzucco|Gaia Girace""","""L'amie prodigieuse""",240,"""https://www.imdb.com/title/tt7278862/?ref_=chttvtp_i_240""",2018,NULL
"""tv-ma""","""Roumanie""",45,"""Roumain""",NULL,"""Relu est un père de famille dont personne ne suspecte l'activité criminelle pour un gangster local. Il parvient à dissimuler sa double vie pendant un temps, jusqu'au jour où il tue accidentellement quelqu'un.""",8.7,NULL,"""Policier|Drame|Thriller""","""Serban Pavlu|Maria Obretin|Andreea Vasile""","""Umbre""",239,"""https://www.imdb.com/title/tt4269716/?ref_=chttvtp_i_239""",2014,2019
"""12""","""États-Unis""",0,"""Anglais""",NULL,"""Explore la relation précoce entre un psychiatre réputé et un jeune profileur criminel du FBI hanté par sa capacité d'empathie envers les tueurs en série.""",8.5,"""Bryan Fuller""","""Policier|Drame|Horreur""","""Hugh Dancy|Mads Mikkelsen|Caroline Dhavernas""","""Hannibal""",236,"""https://www.imdb.com/title/tt2243973/?ref_=chttvtp_i_236""",2013,2015
"""tv-ma""","""Japon""",118,"""Japonais""",NULL,"""In the era of Japan's Meiji Restoration, an assassin regains his humanity.""",8.6,NULL,"""Animation|Action|Aventure""","""Mayo Suzukaze|Junko Iwao|Nozomu Sasaki""","""Kenshin le Vagabond - Le Chapitre de la Mémoire""",234,"""https://www.imdb.com/title/tt0203082/?ref_=chttvtp_i_234""",1999,NULL
"""10""","""États-Unis""",62,"""Anglais""",NULL,"""Entre futur proche et passé réinventé, explorez un monde dans lequel chaque envie humaine peut être réalisée sans aucune conséquence.""",8.5,"""Lisa Joy|Jonathan Nolan""","""Drame|Mystère|Science-fiction""","""Evan Rachel Wood|Jeffrey Wright|Ed Harris""","""Westworld""",237,"""https://www.imdb.com/title/tt0475784/?ref_=chttvtp_i_237""",2016,2022
"""13""","""États-Unis""",0,"""Anglais""",NULL,"""L'état fragile de guerre froide du système solaire est menacé alors qu'une vaste conspiration est lentement découverte.""",8.5,"""Daniel Abraham|Mark Fergus|Ty Franck""","""Drame|Mystère|Science-fiction""","""Steven Strait|Dominique Tipper|Wes Chatham""","""The Expanse""",233,"""https://www.imdb.com/title/tt3230854/?ref_=chttvtp_i_233""",2015,2022
