audience,country,duration,original_language,orignal_title,plot,score,scrapy_creators,scrapy_genres,scrapy_stars,title,tvshow_rank,url,year_start,year_stop
"""10""","""États-Unis""",23,"""Anglais""",NULL,"""Un samouraï retourne dans le temps et se bat pour rentrer chez lui et sauver le monde.""",8.5,"""Genndy Tartakovsky""","""Animation|Action|Aventure""","""Phil LaMarr|Mako|Kevin Michael Richardson""","""Samurai Jack""",203,"""https://www.imdb.com/title/tt0278238/?ref_=chttvtp_i_203""",2001,2017
"""10""","""Japon""",24,"""Japonais""",NULL,"""Un collégien télépathe tente de mener une vie normale et de garder le contrôle de ses pouvoirs grandissants malgré le fait qu'ils s'attire constemment des ennuis.""",8.6,NULL,"""Animation|Action|Comédie""","""Takahiro Sakurai|Setsuo Ito|Chris Niosi""","""Mob Psycho 100""",204,"""https://www.imdb.com/title/tt5897304/?ref_=chttvtp_i_204""",2016,2022
"""tv-pg""","""Royaume-Uni""",315,"""Anglais""",NULL,"""Ewan McGregor and Charley Boorman embark on a grueling quest to motorbike from London to New York. Going east through Europe, Asia and then to Alaska, they experience different cultures and have to overcome the elements and adversity.""",8.6,"""David Alexanian|Charley Boorman|Russ Malkin""","""Documentaire|Aventure""","""Ewan McGregor|Charley Boorman|David Alexanian""","""Long Way Round""",202,"""https://www.imdb.com/title/tt0403778/?ref_=chttvtp_i_202""",2004,2010
"""tous publics""","""États-Unis""",49,"""Anglais""",NULL,"""Elliot, un jeune ingénieur en cyber sécurité brillant et très instable, devient un personnage clé dans un jeu complexe de domination du monde lorsqu'il tente avec ses alliés mystérieux de renverser la société corrompue pour laquelle il travaille.""",8.5,"""Sam Esmail""","""Policier|Drame|Thriller""","""Rami Malek|Christian Slater|Carly Chaikin""","""Mr. Robot""",198,"""https://www.imdb.com/title/tt4158110/?ref_=chttvtp_i_198""",2015,2019
"""tv-14""","""Turquie""",90,"""Turc""",NULL,"""Après avoir été trahi par ses amis et la femme qu'il aimait, Ömer Uçar revient sous le nom d'Ezel pour se venger.""",8.7,NULL,"""Policier|Drame|Thriller""","""Kenan Imirzalioglu|Cansu Dere|Yigit Özsener""","""Ezel""",200,"""https://www.imdb.com/title/tt1534360/?ref_=chttvtp_i_200""",2009,2011
"""tv-ma""","""Royaume-Uni""",29,"""Anglais""",NULL,"""A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.""",8.6,NULL,"""Comédie""","""Steve Coogan|Simon Greenall|Felicity Montagu""","""I'm Alan Partridge""",201,"""https://www.imdb.com/title/tt0129690/?ref_=chttvtp_i_201""",1997,2002
"""tv-14""","""Royaume-Uni""",25,"""Anglais""","""Spaced""","""Les amis Tim et Daisy, vivent dans le nord de Londres et ont un avenir incertain. Ils sont obligés à prétendre qu'ils sont en couple pour vivre dans le seul appartement qu'ils peuvent se permettre.""",8.5,NULL,"""Comédie""","""Simon Pegg|Jessica Hynes|Julia Deakin""","""Les allumés""",199,"""https://www.imdb.com/title/tt0187664/?ref_=chttvtp_i_199""",1999,2001
"""13""","""Royaume-Uni""",25,"""Anglais""",NULL,"""Les mésaventures comiques de Roy, Moss et de Jen, leur nouvelle responsable inexpérimentée, une équipe hétéroclite d'assistance informatique au sein d'une grande entreprise.""",8.5,NULL,"""Comédie""","""Chris O'Dowd|Richard Ayoade|Katherine Parkinson""","""The IT Crowd""",197,"""https://www.imdb.com/title/tt0487831/?ref_=chttvtp_i_197""",2006,2013
"""tv-ma""","""États-Unis""",11,"""Anglais""",NULL,"""Eric Andre tente d'animer un talk-show dans un endroit bizarre, où il est parfois le farceur et parfois la victime.""",8.6,"""Eric André""","""Comédie|Talk-show""","""Eric André|Hannibal Buress|Robert Smith""","""The Eric Andre Show""",196,"""https://www.imdb.com/title/tt2244495/?ref_=chttvtp_i_196""",2012,NULL
"""tv-14""","""États-Unis""",30,"""Anglais""",NULL,"""Q, Sal, Joe et Murr, meilleurs amis, adorent lancer les challenges aux défis et aux tours les plus outrageux jamais filmés sur caméra caché.""",8.6,NULL,"""Comédie|Télé-réalité""","""James Murray|Brian Quinn|Sal Vulcano""","""Impractical Jokers""",195,"""https://www.imdb.com/title/tt2100976/?ref_=chttvtp_i_195""",2011,NULL
"""tous publics""","""Japon""",24,"""Japonais""","""Samurai Chanpurû""","""Fuu, une serveuse employée dans une maison de thé, sauve deux maîtres épéistes, Mugen et Jin, de leur exécution pour qu'ils l'aide à trouver le « samurai qui sent le tournesol ».""",8.6,"""Shin'ichirô Watanabe""","""Animation|Action|Aventure""","""Kazuya Nakai|Ginpei Sato|Ayako Kawasumi""","""Samurai chanpurû""",192,"""https://www.imdb.com/title/tt0423731/?ref_=chttvtp_i_192""",2004,2005
"""tv-pg""","""Royaume-Uni""",30,"""Anglais""",NULL,"""James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.""",8.6,NULL,"""Comédie""","""Paul Eddington|Nigel Hawthorne|Derek Fowlds""","""Yes, Prime Minister""",193,"""https://www.imdb.com/title/tt0086831/?ref_=chttvtp_i_193""",1986,1987
"""NULL""","""Inde""",45,"""Hindi""",NULL,"""L'histoire de deux hommes extraordinaires, Dr. Homi Jehangir Bhabha et Dr. Vikram Ambalal Sarabhai, qui ont créé l'histoire tout en construisant l'avenir de l'Inde.""",8.9,"""Nikkhil Advani""","""Drame|Historique""","""Jim Sarbh|Saba Azad|Regina Cassandra""","""Rocket Boys""",190,"""https://www.imdb.com/title/tt13868972/?ref_=chttvtp_i_190""",2022,NULL
"""tous publics""","""Serbie""",0,"""Serbe""","""Senke nad Balkanom""","""Un film et thriller historique pendant la période turbulente de la fin des années 1920 dans les Balkans, où la politique, les intérêts locaux et les activités criminelles s'entremêlent.""",8.9,"""Dragan Bjelogrlic""","""Policier|Drame|Thriller""","""Andrija Kuzmanovic|Marija Bergam|Dragan Bjelogrlic""","""Soleil noir""",191,"""https://www.imdb.com/title/tt6108262/?ref_=chttvtp_i_191""",2017,NULL
"""tous publics""","""Royaume-Uni""",89,"""Anglais""","""Endeavour""","""Dans les années 1960, la série suit Endeavour Morse pendant ses débuts en tant que gendarme. Travaillant aux côtés de son associé principal, DI Fred Thursday, Morse mène l'enquête près d'Oxford.""",8.6,NULL,"""Policier|Drame|Mystère""","""Shaun Evans|Roger Allam|James Bradshaw""","""Les enquêtes de Morse""",194,"""https://www.imdb.com/title/tt2701582/?ref_=chttvtp_i_194""",2012,2023
"""16""","""États-Unis""",0,"""Anglais""",NULL,"""Filmé sur une période de 10 ans, Steven Avery, innocenté par un test d'ADN, se retrouve suspect principal d'un nouveau crime effroyable alors qu'il tente de dénoncer la corruption dans les forces de l'ordre locales.""",8.5,NULL,"""Documentaire|Policier""","""Steven Avery|Dolores Avery|Laura Nirider""","""Making a Murderer""",188,"""https://www.imdb.com/title/tt5189670/?ref_=chttvtp_i_188""",2015,2018
"""12""","""États-Unis""",28,"""Anglais""",NULL,"""Bret et Jemaine sont Flight of the Conchords, un groupe folk-rock néo-zélandais vivant à New York en quête de célébrité.""",8.6,"""James Bobin|Jemaine Clement|Bret McKenzie""","""Comédie|Musical|Comédie Musicale""","""Jemaine Clement|Bret McKenzie|Rhys Darby""","""Flight of the Conchords""",187,"""https://www.imdb.com/title/tt0863046/?ref_=chttvtp_i_187""",2007,2009
"""16""","""États-Unis""",0,"""Anglais""","""The Queen's Gambit""","""En pleine guerre froide, Beth Harmon est une orpheline prodige des échecs. Suivez-la dans sa quête pour devenir la plus grande joueuse d'échecs du monde tout en affrontant des problèmes d'addiction.""",8.5,"""Scott Frank|Allan Scott""","""Drame""","""Anya Taylor-Joy|Chloe Pirrie|Bill Camp""","""Le jeu de la dame""",183,"""https://www.imdb.com/title/tt10048342/?ref_=chttvtp_i_183""",2020,NULL
"""tv-14""","""Royaume-Uni""",30,"""Anglais""","""Coupling""","""Six meilleurs amis parlent de tous les aspects du sexe et des relations dans leur quête sans fin pour trouver le véritable amour.""",8.6,NULL,"""Comédie|Romantique""","""Jack Davenport|Gina Bellman|Sarah Alexander""","""Six sexy""",189,"""https://www.imdb.com/title/tt0237123/?ref_=chttvtp_i_189""",2000,2004
"""tv-14""","""Japon""",24,"""Japonais""",NULL,"""Dragon Ball raconte l'histoire d'un jeune guerrier nommé Son Goku, un jeune garçon particulier qui se lance dans une quête pour devenir plus fort et découvre le pouvoir des Dragon Balls.""",8.5,NULL,"""Animation|Action|Aventure""","""Brice Armstrong|Steve Olson|Stephanie Nadolny""","""Dragon Ball""",186,"""https://www.imdb.com/title/tt0280249/?ref_=chttvtp_i_186""",1995,2003
"""16""","""Inde""",45,"""Arabe""",NULL,"""Un homme qui travaille pour une section spéciale de l'Agence Nationale d'Investigations tente de protéger la nation des terroristes et sa famille de l'impact de son travail stressant au salaire médiocre.""",8.7,"""Krishna D.K.|Raj Nidimoru""","""Action|Comédie|Drame""","""Manoj Bajpayee|Samantha Ruth Prabhu|Priyamani""","""The Family Man""",185,"""https://www.imdb.com/title/tt9544034/?ref_=chttvtp_i_185""",2019,NULL
"""tv-14""","""États-Unis""",183,"""Anglais""",NULL,"""Suite à la destruction des Douze Colonies de Kobol par les Cylons, une flotte fugitive de chiffons des derniers restes de l'humanité fuit les Cylons qui les poursuivent tout en cherchant simultanément leur véritable maison: la Terre.""",8.5,NULL,"""Action|Aventure|Drame""","""Edward James Olmos|Mary McDonnell|Katee Sackhoff""","""Battlestar Galactica""",184,"""https://www.imdb.com/title/tt0314979/?ref_=chttvtp_i_184""",2003,NULL
"""tous publics""","""Japon""",25,"""Japonais""",NULL,"""Son Gokû, un combattant avec une queue de singe, part avec un groupe de personnages étranges à la recherche des Dragon Balls, des cristaux qui peuvent donner tout ce qu'il désire à celui qui les possède.""",8.5,NULL,"""Animation|Action|Aventure""","""Masako Nozawa|Jôji Yanami|Brice Armstrong""","""Dragon Ball""",180,"""https://www.imdb.com/title/tt0088509/?ref_=chttvtp_i_180""",1986,1989
"""16""","""Japon""",24,"""Japonais""",NULL,"""Un garçon avale un talisman maudit (le doigt d'un démon) et devient lui-même maudit. Il entre dans une école de chaman pour pouvoir localiser les autres parties du corps du démon et ainsi s'exorciser.""",8.6,NULL,"""Animation|Action|Aventure""","""Junya Enoki|Yuma Uchida|Yûichi Nakamura""","""Jujutsu Kaisen""",182,"""https://www.imdb.com/title/tt12343534/?ref_=chttvtp_i_182""",2020,NULL
"""tv-14""","""États-Unis""",22,"""Anglais""",NULL,"""Les vives et étranges aventures du savant pseudo-héroïque Dr. Rusty Venture, de son garde du corps compétent et très nerveux, et de ses deux fils trop enthousiastes.""",8.6,"""Christopher McCulloch""","""Animation|Action|Aventure""","""Christopher McCulloch|James Urbaniak|Doc Hammer""","""The Venture Bros.""",181,"""https://www.imdb.com/title/tt0417373/?ref_=chttvtp_i_181""",2003,2018
"""tous publics""","""États-Unis""",22,"""Anglais""","""Justice League""","""Les sept héros les plus redoutables au monde forment l'équipe la plus puissante de tous les temps.""",8.6,"""Bob Kane|William Moulton Marston|Joe Shuster""","""Animation|Action|Aventure""","""Carl Lumbly|Phil LaMarr|Michael Rosenbaum""","""La Ligue des justiciers""",179,"""https://www.imdb.com/title/tt0275137/?ref_=chttvtp_i_179""",2001,2004
"""12""","""États-Unis""",30,"""Anglais""",NULL,"""Un aperçu de la vie quotidienne (ou plutôt nocturne) de trois vampires vivant ensemble depuis plus de 100 ans à Staten Island.""",8.6,"""Jemaine Clement""","""Comédie|Fantastique|Horreur""","""Kayvan Novak|Matt Berry|Natasia Demetriou""","""What We Do in the Shadows""",178,"""https://www.imdb.com/title/tt7908628/?ref_=chttvtp_i_178""",2019,2024
"""16""","""États-Unis""",0,"""Anglais""",NULL,"""Une série télévisée procédurale de la police étasunienne relatant le travail d'une version fictive de l'unité des homicides du département de police de Baltimore.""",8.7,"""Paul Attanasio""","""Policier|Drame|Mystère""","""Richard Belzer|Clark Johnson|Yaphet Kotto""","""Homicide""",177,"""https://www.imdb.com/title/tt0106028/?ref_=chttvtp_i_177""",1993,1999
"""10""","""France""",52,"""Français""",NULL,"""Au bout de six années d'infiltration en Syrie, l'officier de renseignement français Malotru rentre chez lui, où il s'efforce d'oublier son identité d'infiltré, et il forme une jeune recrue et enquête lorsqu'un collègue disparaît en Algérie.""",8.7,"""Eric Rochant""","""Drame|Thriller""","""Mathieu Kassovitz|Florence Loiret Caille|Jonathan Zaccaï""","""Le Bureau des Légendes""",175,"""https://www.imdb.com/title/tt4063800/?ref_=chttvtp_i_175""",2015,2020
"""tv-g""","""États-Unis""",30,"""Anglais""",NULL,"""TV series featuring the classic Looney Tunes animated shorts.""",8.6,NULL,"""Animation|Comédie""","""Mel Blanc|June Foray|Daws Butler""","""The Bugs Bunny Show""",173,"""https://www.imdb.com/title/tt0053488/?ref_=chttvtp_i_173""",1960,1975
"""tous publics""","""Mexique""",30,"""Espagnol""",NULL,"""Les mésaventures d'un enfant pauvre, sans abri et maladroit et de ses amis dans leur humble quartier.""",8.7,"""Roberto Gómez Bolaños""","""Comédie|Famille""","""Ramón Valdés|Carlos Villagrán|Roberto Gómez Bolaños""","""El Chavo del Ocho""",174,"""https://www.imdb.com/title/tt0229889/?ref_=chttvtp_i_174""",1972,1983
"""tous publics""","""États-Unis""",0,"""Anglais""",NULL,"""Le maréchal américain Raylan Givens, un ancien de la vieille école, est transféré de Miami à sa région natale pauvre et minière de l'est du Kentucky.""",8.6,"""Graham Yost""","""Action|Policier|Drame""","""Timothy Olyphant|Nick Searcy|Joelle Carter""","""Justified""",172,"""https://www.imdb.com/title/tt1489428/?ref_=chttvtp_i_172""",2010,2015
"""16""","""États-Unis""",0,"""Anglais""",NULL,"""Inspiré du roman The Haunting of Hill House de Shirley Jackson.""",8.6,"""Mike Flanagan""","""Drame|Horreur|Mystère""","""Michiel Huisman|Carla Gugino|Henry Thomas""","""The Haunting of Hill House""",176,"""https://www.imdb.com/title/tt6763664/?ref_=chttvtp_i_176""",2018,NULL
"""tv-pg""","""Royaume-Uni""",30,"""Anglais""",NULL,"""A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.""",8.6,NULL,"""Comédie|Jeu télévisé""","""Alan Davies|Stephen Fry|Sandi Toksvig""","""QI""",170,"""https://www.imdb.com/title/tt0380136/?ref_=chttvtp_i_170""",2003,NULL
"""16""","""États-Unis""",55,"""Anglais""",NULL,"""Un homme politique d'Atlantic City dans le New Jersey joue des deux côtés de la loi, conspirant avec des gangsters à l'époque de la prohibition.""",8.6,"""Terence Winter""","""Policier|Drame""","""Steve Buscemi|Kelly Macdonald|Michael Shannon""","""Boardwalk Empire""",171,"""https://www.imdb.com/title/tt0979432/?ref_=chttvtp_i_171""",2010,2014
"""10""","""États-Unis""",0,"""Anglais""",NULL,"""Une famille dans un ranch du Montana affronte les personnes qui empiètent sur leurs terres.""",8.7,"""John Linson|Taylor Sheridan""","""Drame|Western""","""Kevin Costner|Luke Grimes|Kelly Reilly""","""Yellowstone""",169,"""https://www.imdb.com/title/tt4236770/?ref_=chttvtp_i_169""",2018,NULL
"""tv-ma""","""Australie""",30,"""Anglais""",NULL,"""Ray Shoesmith est un père de famille, ex-mari, petit ami, frère et meilleur ami, des rôles difficiles à concilier à notre époque. Encore plus difficile lorsque l'on est criminel aussi.""",8.6,"""Scott Ryan""","""Policier|Drame""","""Scott Ryan|Chika Yasumura|Justin Rosniak""","""Mr Inbetween""",166,"""https://www.imdb.com/title/tt7472896/?ref_=chttvtp_i_166""",2018,2021
"""16""","""États-Unis""",0,"""Anglais""",NULL,"""La découverte de l'épicentre de la lutte de l'Amérique contre la dépendance aux opioïdes, des salles de réunion de Purdue Pharma à une communauté minière de Virginie en détresse, en passant par les couloirs de la DEA.""",8.6,"""Danny Strong""","""Drame""","""Michael Keaton|Peter Sarsgaard|Michael Stuhlbarg""","""Dopesick""",163,"""https://www.imdb.com/title/tt9174558/?ref_=chttvtp_i_163""",2021,NULL
"""NULL""","""Royaume-Uni""",50,"""Anglais""","""Greatest Events of WWII in Colour""","""Une série d'archives colorées d'événements importants pendant la 2ème Guerre Mondiale.""",8.7,NULL,"""Documentaire|Historique|Guerre""","""Derek Jacobi|Geoffrey Wawro|James Holland""","""Les Grandes Batailles de la 2ᵉ Guerre mondiale""",165,"""https://www.imdb.com/title/tt9103932/?ref_=chttvtp_i_165""",2019,NULL
"""10""","""États-Unis""",55,"""Anglais""",NULL,"""Une salle de rédaction subit des changements dans son fonctionnement et dans sa moralité lors de l'introduction d'une nouvelle équipe, apportant des résultats inattendus pour le présentateur du journal télévisé.""",8.6,"""Aaron Sorkin""","""Drame""","""Jeff Daniels|Emily Mortimer|John Gallagher Jr.""","""The Newsroom""",168,"""https://www.imdb.com/title/tt1870479/?ref_=chttvtp_i_168""",2012,2014
"""tv-pg""","""Royaume-Uni""",30,"""Anglais""",NULL,"""Le distingué James Hacker a reçu l'excellent poste de Ministre du Cabinet au Département de l'Administration. Enfin, il est en position de pouvoir et peut apporter certaines réformes nécessaires depuis longtemps, ou du moins le pense-t-il.""",8.7,NULL,"""Comédie""","""Paul Eddington|Nigel Hawthorne|Derek Fowlds""","""Yes Minister""",164,"""https://www.imdb.com/title/tt0080306/?ref_=chttvtp_i_164""",1980,1984
"""tous publics avec avertissement""","""Japon""",24,"""Japonais""","""Kimetsu no Yaiba""","""Une famille est attaquée par des démons et deux membres seulement survivent: Tanjiro et sa soeur Nezuko, qui se transforme lentement en démon. Tanjiro cherche à devenir tueur de démons pour venger sa famille et guérir sa soeur.""",8.6,NULL,"""Animation|Action|Aventure""","""Natsuki Hanae|Zach Aguilar|Abby Trott""","""Demon Slayer: Kimetsu no Yaiba""",159,"""https://www.imdb.com/title/tt9335498/?ref_=chttvtp_i_159""",2019,NULL
"""tv-ma""","""États-Unis""",24,"""Anglais""",NULL,"""Il suit l'équipage d'un cargo endommagé qui s'est échoué sur une planète magnifique mais dangereuse.""",8.7,"""Joe Bennett|Charles Huettner""","""Animation|Aventure|Drame""","""Sunita Mani|Wunmi Mosaku|Bob Stephenson""","""Scavengers Reign""",160,"""https://www.imdb.com/title/tt21056886/?ref_=chttvtp_i_160""",2023,NULL
"""18""","""États-Unis""",35,"""Anglais""",NULL,"""Un jeune chef du monde de la gastronomie revient à Chicago pour diriger la sandwicherie de sa famille.""",8.6,"""Christopher Storer""","""Comédie|Drame""","""Jeremy Allen White|Ayo Edebiri|Ebon Moss-Bachrach""","""The Bear""",167,"""https://www.imdb.com/title/tt14452776/?ref_=chttvtp_i_167""",2022,NULL
"""16""","""États-Unis""",22,"""Anglais""",NULL,"""Des opérations secrètes et des opérations d'espionnage passent au second plan face aux personnalités loufoques et aux relations entre agents secrets et drones.""",8.6,"""Adam Reed""","""Animation|Action|Comédie""","""H. Jon Benjamin|Judy Greer|Amber Nash""","""Archer""",158,"""https://www.imdb.com/title/tt1486217/?ref_=chttvtp_i_158""",2009,2023
"""13""","""Canada""",0,"""Micmac""","""Anne""","""Les aventures d'une jeune orpheline vivant à la fin du XIXème siècle. Anne apprend à gérer sa nouvelle vie sur l'Île-du-Prince-Édouard, dans cette nouvelle interprétation des romans de L.M. Montgomery.""",8.6,"""Moira Walley-Beckett""","""Drame|Famille""","""Amybeth McNulty|Geraldine James|R.H. Thomson""","""Anne with an E""",161,"""https://www.imdb.com/title/tt5421602/?ref_=chttvtp_i_161""",2017,2019
"""13""","""Corée du Sud""",70,"""Coréen""","""Sarangeui bulsachak""","""L'histoire d'amour secrète entre une héritière chaebol et un officier nord-coréen qui tombe amoureux d'elle et qui la protège après qu'elle se soit écrasée en parapente en Corée du Nord.""",8.7,NULL,"""Aventure|Comédie|Romantique""","""Hyun Bin|Son Ye-jin|Seo Ji-hye""","""Crash Landing on You""",156,"""https://www.imdb.com/title/tt10850932/?ref_=chttvtp_i_156""",2019,2020
"""tous publics""","""États-Unis""",23,"""Anglais""","""Young Justice""","""Les super-héros adolescents s'efforcent de faire leurs preuves en tant que membres de la Jusice League.""",8.6,"""Greg Weisman|Brandon Vietti|Geoff Johns""","""Animation|Action|Aventure""","""Nolan North|Danica McKellar|Jesse McCartney""","""La Ligue des justiciers: Nouvelle Génération""",162,"""https://www.imdb.com/title/tt1641384/?ref_=chttvtp_i_162""",2010,2023
"""12""","""États-Unis""",0,"""Anglais""",NULL,"""Dans le monde de 1987, Pose ''examine la juxtaposition de plusieurs segments de la vie et de la société à New York: l'essor de l'univers du luxe, la scène sociale et littéraire du centre-ville et la culture du bal''.""",8.6,"""Steven Canals|Brad Falchuk|Ryan Murphy""","""Drame""","""Michaela Jaé (MJ) Rodriguez|Dominique Jackson|Indya Moore""","""Pose""",157,"""https://www.imdb.com/title/tt7562112/?ref_=chttvtp_i_157""",2018,2021
"""tv-14""","""États-Unis""",92,"""Anglais""",NULL,"""La série a pour sujet un homme, Joel Robinson, ainsi que ses deux robots, Crow et Tom Servo. Ils sont tous trois prisonniers d'une station spatiale appartenant à un méchant scientifique.""",8.6,"""Joel Hodgson""","""Comédie|Science-fiction""","""Joel Hodgson|Michael J. Nelson|Trace Beaulieu""","""Mystery Science Theater 3000""",154,"""https://www.imdb.com/title/tt0094517/?ref_=chttvtp_i_154""",1988,1999
"""tv-pg""","""Royaume-Uni""",0,"""Anglais""","""Blackadder the Third""","""In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.""",8.6,NULL,"""Comédie""","""Rowan Atkinson|Tony Robinson|Hugh Laurie""","""La vipère noire III""",155,"""https://www.imdb.com/title/tt0092324/?ref_=chttvtp_i_155""",1987,NULL
"""12""","""Italie""",55,"""Italien""",NULL,"""Ciro ne tient pas compte de la tradition dans sa tentative de devenir le prochain patron de son organisation criminelle. La lutte pour le pouvoir interne met sa vie et celle de toute sa famille en danger.""",8.6,"""Leonardo Fasoli|Stefano Bises|Roberto Saviano""","""Policier|Drame|Thriller""","""Salvatore Esposito|Marco D'Amore|Ivana Lotito""","""Gomorra: La serie""",152,"""https://www.imdb.com/title/tt2049116/?ref_=chttvtp_i_152""",2014,2021
"""tous publics""","""Royaume-Uni""",25,"""Anglais""",NULL,"""M. Bean a de la difficulté à accomplir les tâches les plus simples de la vie quotidienne, mais sa persévérance et sa débrouillardise lui permettent souvent de trouver des moyens ingénieux de résoudre les problèmes.""",8.6,"""Rowan Atkinson|Richard Curtis""","""Comédie|Famille""","""Rowan Atkinson|Matilda Ziegler|Robin Driscoll""","""Mr. Bean""",153,"""https://www.imdb.com/title/tt0096657/?ref_=chttvtp_i_153""",1990,1995
"""18""","""États-Unis""",0,"""Anglais""",NULL,"""Les expériences inédites du producteur oscarisé Albert S. Ruddy lors de la réalisation du film ''Le Parrain''.""",8.6,"""Leslie Greif|Michael Tolkin""","""Biographique|Drame""","""Miles Teller|Matthew Goode|Dan Fogler""","""The Offer""",151,"""https://www.imdb.com/title/tt13111040/?ref_=chttvtp_i_151""",2022,NULL
"""tous publics""","""Japon""",24,"""Japonais""",NULL,"""Déterminé à être devenir comme le joueur vedette du championnat de volleyball Shouyou, un petit garçon surnommé «le petit géant», rejoint le club de volley-ball de son école.""",8.7,"""Haruichi Furudate""","""Animation|Comédie|Drame""","""Ayumu Murase|Kaito Ishikawa|Yu Hayashi""","""Haikyuu!!""",148,"""https://www.imdb.com/title/tt3398540/?ref_=chttvtp_i_148""",2014,2020
"""tv-pg""","""Royaume-Uni""",0,"""Anglais""","""The Return of Sherlock Holmes""","""Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.""",8.7,"""John Hawkesworth""","""Policier|Drame|Mystère""","""Jeremy Brett|Edward Hardwicke|Rosalie Williams""","""Le retour de Sherlock Holmes""",149,"""https://www.imdb.com/title/tt0090509/?ref_=chttvtp_i_149""",1986,1988
"""tv-14""","""Inde""",30,"""Hindi""",NULL,"""Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.""",9.0,"""Sameer Saxena""","""Comédie|Drame|Famille""","""Vishesh Bansal|Mona Singh|Prasad Reddy""","""Yeh Meri Family""",146,"""https://www.imdb.com/title/tt8595766/?ref_=chttvtp_i_146""",2018,2023
"""16""","""États-Unis""",0,"""Anglais""",NULL,"""À la fin des années 1970, deux agents du FBI sont chargés d'interviewer des tueurs en série pour résoudre des affaires en cours.""",8.6,"""Joe Penhall""","""Policier|Drame|Mystère""","""Jonathan Groff|Holt McCallany|Anna Torv""","""Mindhunter""",147,"""https://www.imdb.com/title/tt5290382/?ref_=chttvtp_i_147""",2017,2019
"""tv-14""","""États-Unis""",384,"""Anglais""",NULL,"""En compagnie de plusieurs autres habitants d'une petite ville du Texas, deux ex-Rangers du Texas retrouvent leur esprit d'aventure en se joignant à un voyage de bétail vers le Territoire du Montana.""",8.7,NULL,"""Aventure|Drame|Western""","""Robert Duvall|Tommy Lee Jones|Danny Glover""","""Lonesome Dove""",145,"""https://www.imdb.com/title/tt0096639/?ref_=chttvtp_i_145""",1989,NULL
"""tous publics""","""Royaume-Uni""",100,"""Anglais""","""Poirot""","""De l'Angleterre à l'Égypte, l'excentrique et excellent détective Hercule Poirot, accompagné de ses élégants compagnons dignes de confiance, oppose son esprit à un ensemble de supercheries de première classe.""",8.6,NULL,"""Policier|Drame|Mystère""","""David Suchet|Hugh Fraser|Philip Jackson""","""Hercule Poirot""",150,"""https://www.imdb.com/title/tt0094525/?ref_=chttvtp_i_150""",1989,2013
"""tv-pg""","""Royaume-Uni""",176,"""Anglais""","""Blackadder II""","""Dans la cour Tudor d'Elizabeth I, Lord Edmund Blackadder s'efforce de gagner la faveur de Sa Majesté tout en essayant d'éviter un destin macabre s'il l'offense.""",8.6,NULL,"""Comédie""","""Rowan Atkinson|Tony Robinson|Tim McInnerny""","""La vipère noire II""",144,"""https://www.imdb.com/title/tt0088484/?ref_=chttvtp_i_144""",1986,NULL
"""18""","""États-Unis""",54,"""Anglais""",NULL,"""Avocat aveugle de jour, justicier de nuit, Matt Murdock lutte contre le crime dans la ville de New York sous le nom de Daredevil.""",8.6,"""Drew Goddard""","""Action|Policier|Drame""","""Charlie Cox|Vincent D'Onofrio|Deborah Ann Woll""","""Daredevil""",143,"""https://www.imdb.com/title/tt3322312/?ref_=chttvtp_i_143""",2015,2018
"""tous publics""","""États-Unis""",11,"""Anglais""","""Adventure Time""","""Un jeune garçon et son chien magique partent ensemble pour de folles aventures.""",8.6,"""Pendleton Ward""","""Animation|Action|Aventure""","""John DiMaggio|Jeremy Shada|Tom Kenny""","""Adventure Time avec Finn et Jake""",140,"""https://www.imdb.com/title/tt1305826/?ref_=chttvtp_i_140""",2010,2018
"""tv-14""","""États-Unis""",279,"""Anglais""",NULL,"""Plongez dans la vie tourmentée et trouble de Robert Durst, suspecté d'avoir commis 3 meurtres en l'espace de 20 ans.""",8.6,NULL,"""Documentaire|Biographique|Policier""","""Andrew Jarecki|Robert Durst|J. Patrick Burns""","""The Jinx: The Life and Deaths of Robert Durst""",141,"""https://www.imdb.com/title/tt4299972/?ref_=chttvtp_i_141""",2015,2024
"""12""","""Suède""",0,"""Suédois""","""Bron/Broen""","""Lorsqu'un corps est retrouvé sur le pont entre le Danemark et la Suède, juste à la frontière, l'inspecteur danois Martin Rohde et la suédoise Saga Norén doivent se partager la juridiction et travailler ensemble pour trouver le meurtrier.""",8.6,"""Måns Mårlind|Hans Rosenfeldt|Björn Stein""","""Policier|Mystère|Thriller""","""Sofia Helin|Rafael Pettersson|Sarah Boberg""","""The Bridge: Bron/Broen""",142,"""https://www.imdb.com/title/tt1733785/?ref_=chttvtp_i_142""",2011,2018
