audience,country,duration,original_language,orignal_title,plot,score,scrapy_creators,scrapy_genres,scrapy_stars,title,tvshow_rank,url,year_start,year_stop
tous publics,États-Unis,45,Anglais,,Un professeur de chimie de lycée chez qui on a diagnostiqué un cancer du poumon inopérable se tourne vers la fabrication et la vente de méthamphétamine pour assurer l'avenir de sa famille.,9.5,Vince Gilligan,Policier|Drame|Thriller,Bryan Cranston|Aaron Paul|Anna Gunn,Breaking Bad,1,https://www.imdb.com/title/tt0903747/?ref_=chttvtp_i_1,2008,2013
t,États-Unis,23,Anglais,,"Dans un monde magique déchiré par la guerre, un jeune garçon se réveille et se lance dans une quête mystique et dangereuse pour accomplir son destin d'Avatar et apporter la paix dans le monde.",9.3,Michael Dante DiMartino|Bryan Konietzko,Animation|Action|Aventure,Dee Bradley Baker|Zach Tyler Eisen|Mae Whitman,"Avatar, le dernier maître de l'air",7,https://www.imdb.com/title/tt0417299/?ref_=chttvtp_i_7,2005,2008
tous publics,États-Unis,59,Anglais,The Wire,Le monde de la drogue à Baltimore à travers les yeux des trafiquants comme des forces de l'ordre.,9.3,David Simon,Policier|Drame|Thriller,Dominic West|Lance Reddick|Sonja Sohn,Sur écoute,6,https://www.imdb.com/title/tt0306414/?ref_=chttvtp_i_6,2002,2008
tous publics,États-Unis,55,Anglais,The Sopranos,"Tony Soprano, chef de la mafia du New Jersey, doit gérer les problèmes personnels et professionnels qui affectent sa santé mentale, l'amenant à consulter une psychologue.",9.2,David Chase,Policier|Drame,James Gandolfini|Lorraine Bracco|Edie Falco,Les Soprano,9,https://www.imdb.com/title/tt0141842/?ref_=chttvtp_i_9,1999,2007
